step,time_s,cmd_vel,fwd_vel,lateral_vel,pelvis_height,reward_step
0,0.000,4.000,-0.074,-0.042,0.758,0.4622
1,0.017,4.000,-0.025,-0.074,0.759,-0.3753
2,0.033,4.000,0.070,-0.107,0.763,0.3943
3,0.050,4.000,0.091,-0.136,0.766,0.5797
4,0.067,4.000,0.061,-0.158,0.768,0.6642
5,0.083,4.000,-0.006,-0.110,0.769,0.6610
6,0.100,4.000,0.023,-0.106,0.769,0.7895
7,0.117,4.000,0.024,-0.097,0.770,0.8221
8,0.133,4.000,0.035,-0.111,0.770,0.8320
9,0.150,4.000,0.075,-0.117,0.770,0.8337
10,0.167,4.000,0.110,-0.109,0.771,0.8428
11,0.183,4.000,0.150,-0.102,0.772,0.8501
12,0.200,4.000,0.190,-0.099,0.772,0.8468
13,0.217,4.000,0.229,-0.097,0.773,0.8663
14,0.233,4.000,0.258,-0.091,0.773,0.8736
15,0.250,4.000,0.281,-0.085,0.773,0.8801
16,0.267,4.000,0.300,-0.079,0.773,0.8841
17,0.283,4.000,0.322,-0.070,0.772,0.8871
18,0.300,4.000,0.341,-0.058,0.772,0.8884
19,0.317,4.000,0.359,-0.044,0.771,0.8875
20,0.333,4.000,0.369,-0.029,0.770,0.8855
21,0.350,4.000,0.383,-0.016,0.769,0.8836
22,0.367,4.000,0.385,0.001,0.768,0.8784
23,0.383,4.000,0.371,0.021,0.767,0.8714
24,0.400,4.000,0.371,0.050,0.766,0.8626
25,0.417,4.000,0.378,0.076,0.766,0.8521
26,0.433,4.000,0.390,0.094,0.766,0.8497
27,0.450,4.000,0.399,0.113,0.766,0.8470
28,0.467,4.000,0.410,0.123,0.767,0.8467
29,0.483,4.000,0.425,0.124,0.767,0.8491
30,0.500,4.000,0.452,0.121,0.767,0.8502
31,0.517,4.000,0.491,0.119,0.767,0.8432
32,0.533,4.000,0.510,0.120,0.766,0.8479
33,0.550,4.000,0.533,0.122,0.765,0.8473
34,0.567,4.000,0.562,0.123,0.764,0.8478
35,0.583,4.000,0.585,0.126,0.763,0.8493
36,0.600,4.000,0.601,0.130,0.761,0.8484
37,0.617,4.000,0.610,0.137,0.759,0.8448
38,0.633,4.000,0.615,0.144,0.757,0.8378
39,0.650,4.000,0.610,0.153,0.755,0.8335
40,0.667,4.000,0.599,0.159,0.752,0.8273
41,0.683,4.000,0.588,0.163,0.749,0.8217
42,0.700,4.000,0.581,0.165,0.746,0.8046
43,0.717,4.000,0.586,0.163,0.743,0.7313
44,0.733,4.000,0.622,0.130,0.739,0.7491
45,0.750,4.000,0.661,0.095,0.736,0.6919
46,0.767,4.000,0.717,0.090,0.733,0.6901
47,0.783,4.000,0.776,0.066,0.730,0.7097
48,0.800,4.000,0.819,0.029,0.727,0.7200
49,0.817,4.000,0.844,-0.017,0.724,0.6998
50,0.833,4.000,0.849,-0.037,0.722,0.6874
51,0.850,4.000,0.923,-0.065,0.720,0.7393
52,0.867,4.000,1.037,-0.092,0.719,0.7215
53,0.883,4.000,1.179,-0.140,0.720,0.6048
54,0.900,4.000,1.309,-0.126,0.721,0.5708
55,0.917,4.000,1.355,-0.038,0.720,0.5536
56,0.933,4.000,1.453,0.108,0.719,0.4505
57,0.950,4.000,1.529,0.138,0.716,0.6449
58,0.967,4.000,1.579,0.105,0.711,0.7223
59,0.983,4.000,1.621,0.034,0.704,0.7041
60,1.000,4.000,1.616,0.022,0.696,0.7511
61,1.017,4.000,1.530,0.038,0.687,0.6915
62,1.033,4.000,1.455,0.083,0.679,0.6105
63,1.050,4.000,1.456,0.130,0.673,0.5494
64,1.067,4.000,1.490,0.175,0.669,0.4787
65,1.083,4.000,1.507,0.235,0.668,0.3608
66,1.100,4.000,1.586,0.288,0.669,0.3039
67,1.117,4.000,1.809,0.328,0.672,0.3246
68,1.133,4.000,2.120,0.298,0.675,0.3339
69,1.150,4.000,2.349,0.264,0.679,0.3530
70,1.167,4.000,2.365,0.294,0.681,0.3583
71,1.183,4.000,2.404,0.339,0.681,0.5148
72,1.200,4.000,2.414,0.415,0.679,0.4268
73,1.217,4.000,2.381,0.480,0.676,0.2022
74,1.233,4.000,2.307,0.472,0.673,0.5035
75,1.250,4.000,2.278,0.392,0.670,0.4849
76,1.267,4.000,2.297,0.294,0.667,0.4493
77,1.283,4.000,2.364,0.201,0.666,0.3547
78,1.300,4.000,2.436,0.118,0.668,-0.1566
79,1.317,4.000,2.738,0.044,0.675,-0.4390
80,1.333,4.000,3.211,0.073,0.683,-0.2717
81,1.350,4.000,3.323,0.204,0.688,-0.2873
82,1.367,4.000,3.396,0.206,0.692,0.6369
83,1.383,4.000,3.409,0.154,0.693,0.8758
84,1.400,4.000,3.380,0.097,0.694,0.8911
85,1.417,4.000,3.344,0.037,0.694,0.9268
86,1.433,4.000,3.326,-0.013,0.692,0.9030
87,1.450,4.000,3.329,-0.038,0.688,0.5413
88,1.467,4.000,3.268,-0.046,0.686,0.5219
89,1.483,4.000,3.201,-0.001,0.685,0.4350
90,1.500,4.000,3.157,0.114,0.687,0.2950
91,1.517,4.000,3.185,0.165,0.691,0.1433
92,1.533,4.000,3.319,0.221,0.697,0.1892
93,1.550,4.000,3.572,0.193,0.702,0.6929
94,1.567,4.000,3.557,0.166,0.705,0.8583
95,1.583,4.000,3.514,0.114,0.705,1.0268
96,1.600,4.000,3.540,0.161,0.703,1.3419
97,1.617,4.000,3.553,0.210,0.699,1.2802
98,1.633,4.000,3.540,0.212,0.696,0.8179
99,1.650,4.000,3.552,0.189,0.691,0.8533
100,1.667,4.000,3.582,0.157,0.687,0.8298
101,1.683,4.000,3.632,0.053,0.685,1.0255
102,1.700,4.000,3.667,-0.118,0.686,1.0780
103,1.717,4.000,3.732,-0.251,0.691,1.0452
104,1.733,4.000,3.892,-0.349,0.699,1.1131
105,1.750,4.000,3.804,-0.197,0.705,0.9040
106,1.767,4.000,3.819,-0.075,0.706,1.4467
107,1.783,4.000,3.844,-0.058,0.706,1.9061
108,1.800,4.000,3.827,-0.061,0.705,1.9523
109,1.817,4.000,3.813,-0.091,0.702,1.9834
110,1.833,4.000,3.785,-0.122,0.699,1.9225
111,1.850,4.000,3.763,-0.121,0.694,1.7270
112,1.867,4.000,3.787,-0.150,0.688,1.4680
113,1.883,4.000,3.809,-0.051,0.684,1.4776
114,1.900,4.000,3.809,-0.041,0.682,1.7552
115,1.917,4.000,3.819,0.047,0.684,1.5446
116,1.933,4.000,3.784,0.222,0.688,1.2367
117,1.950,4.000,3.760,0.383,0.694,0.9985
118,1.967,4.000,3.895,0.474,0.700,1.2419
119,1.983,4.000,3.878,0.462,0.704,1.2385
120,2.000,4.000,3.807,0.311,0.706,1.1877
121,2.017,4.000,3.804,0.231,0.705,1.8373
122,2.033,4.000,3.822,0.230,0.704,1.9721
123,2.050,4.000,3.820,0.236,0.701,1.8583
124,2.067,4.000,3.836,0.211,0.697,1.6683
125,2.083,4.000,3.846,0.223,0.695,1.5703
126,2.100,4.000,3.858,0.138,0.694,1.7225
127,2.117,4.000,3.907,-0.005,0.694,1.5482
128,2.133,4.000,3.962,-0.174,0.697,1.5190
129,2.150,4.000,4.037,-0.425,0.703,1.2248
130,2.167,4.000,3.984,-0.488,0.709,1.1890
131,2.183,4.000,3.962,-0.177,0.712,0.9411
132,2.200,4.000,3.997,-0.041,0.711,1.8253
133,2.217,4.000,4.008,-0.029,0.709,2.0270
134,2.233,4.000,3.971,-0.023,0.706,2.1081
135,2.250,4.000,3.917,-0.038,0.701,2.0994
136,2.267,4.000,3.870,-0.041,0.695,2.0158
137,2.283,4.000,3.816,-0.075,0.690,1.7821
138,2.300,4.000,3.862,-0.008,0.685,1.9879
139,2.317,4.000,3.889,0.028,0.682,1.9865
140,2.333,4.000,3.915,0.051,0.683,1.8607
141,2.350,4.000,3.900,0.132,0.686,1.6266
142,2.367,4.000,3.871,0.271,0.691,1.3829
143,2.383,4.000,3.892,0.414,0.697,1.2800
144,2.400,4.000,4.016,0.435,0.703,1.4457
145,2.417,4.000,3.936,0.344,0.706,1.6029
146,2.433,4.000,3.902,0.230,0.707,1.8350
147,2.450,4.000,3.939,0.240,0.705,2.1710
148,2.467,4.000,3.966,0.271,0.703,2.0991
149,2.483,4.000,3.961,0.273,0.699,1.9232
150,2.500,4.000,3.964,0.222,0.696,1.5481
151,2.517,4.000,3.940,0.152,0.694,1.4801
152,2.533,4.000,3.890,-0.005,0.695,1.6045
153,2.550,4.000,3.910,-0.137,0.699,1.4975
154,2.567,4.000,3.916,-0.258,0.707,1.1950
155,2.583,4.000,3.984,-0.218,0.713,1.4345
156,2.600,4.000,3.967,0.002,0.714,1.1853
157,2.617,4.000,4.017,0.087,0.713,1.8710
158,2.633,4.000,4.034,0.062,0.710,2.0223
159,2.650,4.000,3.983,0.046,0.706,2.1189
160,2.667,4.000,3.918,0.018,0.701,2.0958
161,2.683,4.000,3.877,-0.011,0.694,1.9769
162,2.700,4.000,3.916,-0.015,0.686,2.0649
163,2.717,4.000,3.891,-0.016,0.678,1.2138
164,2.733,4.000,3.886,0.152,0.672,1.6156
165,2.750,4.000,3.897,0.119,0.669,1.9882
166,2.767,4.000,3.920,0.109,0.669,1.9961
167,2.783,4.000,3.912,0.170,0.671,1.8532
168,2.800,4.000,3.916,0.250,0.676,1.7131
169,2.817,4.000,3.931,0.374,0.681,1.5835
170,2.833,4.000,4.022,0.475,0.688,1.5377
171,2.850,4.000,4.057,0.455,0.693,1.5251
172,2.867,4.000,3.964,0.261,0.695,1.6026
173,2.883,4.000,3.915,0.178,0.695,2.0208
174,2.900,4.000,3.917,0.197,0.694,2.0912
175,2.917,4.000,3.912,0.231,0.691,1.9363
176,2.933,4.000,3.932,0.248,0.688,1.8232
177,2.950,4.000,3.867,0.225,0.687,1.8488
178,2.967,4.000,3.914,0.160,0.687,1.4224
179,2.983,4.000,3.945,-0.015,0.688,1.4514
180,3.000,4.000,3.934,-0.139,0.693,1.2595
181,3.017,4.000,4.037,-0.265,0.702,1.1904
182,3.033,4.000,3.988,-0.168,0.707,1.4230
183,3.050,4.000,4.002,-0.017,0.709,1.6158
184,3.067,4.000,4.015,0.004,0.708,1.9815
185,3.083,4.000,3.990,0.011,0.706,2.1245
186,3.100,4.000,3.948,-0.030,0.702,2.1559
187,3.117,4.000,3.916,-0.048,0.697,2.1214
188,3.133,4.000,3.926,-0.039,0.691,2.1273
189,3.150,4.000,3.887,-0.043,0.684,1.7380
190,3.167,4.000,3.929,0.054,0.679,2.0070
191,3.183,4.000,3.960,0.065,0.676,2.0330
192,3.200,4.000,3.977,0.041,0.677,1.9784
193,3.217,4.000,3.977,0.056,0.679,1.8237
194,3.233,4.000,3.952,0.132,0.683,1.7681
195,3.250,4.000,3.928,0.262,0.688,1.5297
196,3.267,4.000,4.033,0.320,0.693,1.5148
197,3.283,4.000,4.056,0.292,0.697,1.5337
198,3.300,4.000,3.978,0.163,0.698,1.5996
199,3.317,4.000,3.973,0.160,0.696,2.1384
200,3.333,4.000,3.974,0.188,0.693,2.0822
201,3.350,4.000,3.969,0.199,0.689,1.8605
202,3.367,4.000,3.927,0.184,0.686,1.8294
203,3.383,4.000,3.926,0.062,0.685,1.3885
204,3.400,4.000,3.884,-0.035,0.686,1.6471
205,3.417,4.000,3.873,-0.112,0.691,1.5478
206,3.433,4.000,3.868,-0.216,0.700,1.2686
207,3.450,4.000,3.964,-0.143,0.707,1.5354
208,3.467,4.000,3.972,0.023,0.710,1.3160
209,3.483,4.000,3.977,0.058,0.709,1.7827
210,3.500,4.000,3.992,0.006,0.707,2.0892
211,3.517,4.000,3.947,-0.049,0.703,2.1026
212,3.533,4.000,3.912,-0.075,0.699,2.0663
213,3.550,4.000,3.940,-0.072,0.693,2.0542
214,3.567,4.000,3.966,-0.064,0.685,1.6513
215,3.583,4.000,3.884,0.042,0.679,1.9400
216,3.600,4.000,3.894,0.076,0.675,1.9316
217,3.617,4.000,3.918,0.032,0.673,2.0225
218,3.633,4.000,3.946,0.016,0.673,2.0331
219,3.650,4.000,3.952,0.046,0.676,1.6125
220,3.667,4.000,3.954,0.097,0.679,1.7281
221,3.683,4.000,3.949,0.208,0.683,1.4726
222,3.700,4.000,4.004,0.319,0.688,1.3805
223,3.717,4.000,4.049,0.326,0.691,1.4979
224,3.733,4.000,3.958,0.177,0.692,1.6303
225,3.750,4.000,3.910,0.135,0.690,2.0406
226,3.767,4.000,3.916,0.165,0.687,2.0828
227,3.783,4.000,3.909,0.197,0.683,1.7666
228,3.800,4.000,3.843,0.201,0.680,1.5989
229,3.817,4.000,3.847,0.120,0.678,1.2056
230,3.833,4.000,3.842,0.029,0.679,1.6003
231,3.850,4.000,3.871,-0.042,0.683,1.5026
232,3.867,4.000,3.838,-0.175,0.690,1.2221
