step,time_s,cmd_vel,fwd_vel,lateral_vel,pelvis_height,reward_step
0,0.000,4.000,-0.324,0.066,0.757,-0.5764
1,0.017,4.000,-0.545,0.093,0.751,-0.5408
2,0.033,4.000,-0.641,0.125,0.745,-0.2880
3,0.050,4.000,-0.702,0.173,0.738,-0.1088
4,0.067,4.000,-0.698,0.202,0.730,-0.0652
5,0.083,4.000,-0.603,0.220,0.722,-0.1186
6,0.100,4.000,-0.429,0.223,0.712,-0.0852
7,0.117,4.000,-0.201,0.215,0.702,-0.0279
8,0.133,4.000,0.029,0.216,0.689,0.1270
9,0.150,4.000,0.247,0.203,0.676,0.2593
10,0.167,4.000,0.414,0.178,0.662,0.1955
11,0.183,4.000,0.563,0.166,0.646,-0.5191
12,0.200,4.000,0.658,0.149,0.632,0.1128
13,0.217,4.000,0.747,0.127,0.619,0.3073
14,0.233,4.000,0.867,0.121,0.608,0.4465
15,0.250,4.000,1.004,0.106,0.599,0.5811
16,0.267,4.000,1.131,0.048,0.593,0.5340
17,0.283,4.000,1.239,0.012,0.588,0.5965
18,0.300,4.000,1.326,-0.002,0.585,0.6030
19,0.317,4.000,1.439,-0.010,0.582,0.5624
20,0.333,4.000,1.599,-0.053,0.580,0.5708
21,0.350,4.000,1.705,-0.108,0.579,0.5790
22,0.367,4.000,1.710,-0.123,0.578,0.5771
23,0.383,4.000,1.575,-0.160,0.577,0.4463
24,0.400,4.000,1.507,-0.171,0.576,0.4543
25,0.417,4.000,1.506,-0.165,0.578,0.4636
26,0.433,4.000,1.458,-0.135,0.580,0.4537
27,0.450,4.000,1.421,-0.090,0.584,0.4766
28,0.467,4.000,1.420,-0.020,0.588,0.4268
29,0.483,4.000,1.463,0.041,0.593,0.3783
30,0.500,4.000,1.573,0.092,0.598,0.2683
31,0.517,4.000,1.732,0.069,0.603,0.2725
32,0.533,4.000,1.967,0.088,0.609,0.0576
33,0.550,4.000,2.242,0.092,0.615,-0.0153
34,0.567,4.000,2.568,0.069,0.622,-0.3799
35,0.583,4.000,2.843,-0.049,0.631,-0.3239
36,0.600,4.000,2.779,0.048,0.640,-0.4095
37,0.617,4.000,2.752,0.082,0.647,0.3179
38,0.633,4.000,2.745,0.090,0.653,0.6358
39,0.650,4.000,2.776,0.120,0.658,0.7142
40,0.667,4.000,2.840,0.174,0.661,0.6519
41,0.683,4.000,2.935,0.193,0.662,0.4771
42,0.700,4.000,2.951,0.225,0.661,0.5774
43,0.717,4.000,2.935,0.216,0.660,0.5189
44,0.733,4.000,3.017,0.186,0.659,0.4734
45,0.750,4.000,3.114,0.151,0.660,0.4087
46,0.767,4.000,3.169,0.130,0.662,0.3029
47,0.783,4.000,3.302,0.159,0.667,0.0926
48,0.800,4.000,3.424,0.079,0.671,0.0441
49,0.817,4.000,3.563,0.053,0.673,0.2431
50,0.833,4.000,3.688,0.041,0.673,0.8938
51,0.850,4.000,3.665,0.018,0.673,1.0613
52,0.867,4.000,3.623,0.013,0.672,1.1652
53,0.883,4.000,3.597,-0.004,0.670,1.4882
54,0.900,4.000,3.586,-0.025,0.667,1.4905
55,0.917,4.000,3.571,-0.060,0.662,1.2828
56,0.933,4.000,3.486,-0.073,0.658,1.1272
57,0.950,4.000,3.462,-0.043,0.654,0.9894
58,0.967,4.000,3.563,0.056,0.651,1.0674
59,0.983,4.000,3.567,0.083,0.649,0.8293
60,1.000,4.000,3.694,0.121,0.649,1.1412
61,1.017,4.000,3.741,0.159,0.652,0.9996
62,1.033,4.000,3.761,0.126,0.656,0.7982
63,1.050,4.000,3.868,0.056,0.662,0.7032
64,1.067,4.000,3.780,0.124,0.668,0.6723
65,1.083,4.000,3.682,0.018,0.671,0.0115
66,1.100,4.000,3.662,0.021,0.673,1.4455
67,1.117,4.000,3.717,0.047,0.674,1.7447
68,1.133,4.000,3.780,0.075,0.674,1.8912
69,1.150,4.000,3.822,0.104,0.672,2.0115
70,1.167,4.000,3.840,0.129,0.669,1.8812
71,1.183,4.000,3.812,0.163,0.665,1.8385
72,1.200,4.000,3.795,0.154,0.662,1.4982
73,1.217,4.000,3.788,0.147,0.662,1.5000
74,1.233,4.000,3.778,0.133,0.665,1.4301
75,1.250,4.000,3.845,0.113,0.672,1.4202
76,1.267,4.000,3.943,0.036,0.682,1.2956
77,1.283,4.000,3.878,0.026,0.689,0.7083
78,1.300,4.000,3.967,0.057,0.694,1.5980
79,1.317,4.000,3.936,0.012,0.697,1.7440
80,1.333,4.000,3.938,-0.003,0.699,1.8966
81,1.350,4.000,3.929,-0.024,0.699,2.1275
82,1.367,4.000,3.937,-0.039,0.698,2.2384
83,1.383,4.000,3.924,-0.060,0.696,2.2430
84,1.400,4.000,3.903,-0.081,0.691,2.1979
85,1.417,4.000,3.911,-0.112,0.684,1.8472
86,1.433,4.000,3.841,-0.112,0.677,1.8777
87,1.450,4.000,3.841,-0.048,0.673,1.5986
88,1.467,4.000,3.920,0.008,0.670,1.8101
89,1.483,4.000,3.959,0.015,0.669,1.8908
90,1.500,4.000,3.975,0.022,0.671,1.5899
91,1.517,4.000,3.974,0.040,0.675,1.3266
92,1.533,4.000,4.005,0.001,0.680,1.2940
93,1.550,4.000,4.036,-0.026,0.687,1.5250
94,1.567,4.000,3.934,-0.040,0.692,1.4373
95,1.583,4.000,3.906,-0.018,0.694,2.0588
96,1.600,4.000,3.925,0.003,0.695,2.2103
97,1.617,4.000,3.952,0.028,0.694,2.2584
98,1.633,4.000,3.980,0.060,0.691,2.2486
99,1.650,4.000,4.001,0.097,0.686,1.9290
100,1.667,4.000,3.970,0.121,0.681,2.0952
101,1.683,4.000,3.925,0.049,0.678,1.7401
102,1.700,4.000,3.945,0.048,0.678,1.9247
103,1.717,4.000,3.919,0.046,0.683,1.6841
104,1.733,4.000,4.038,0.065,0.691,1.5152
105,1.750,4.000,4.016,0.001,0.698,1.2571
106,1.767,4.000,4.067,-0.020,0.702,1.7606
107,1.783,4.000,4.055,-0.032,0.704,1.7705
108,1.800,4.000,3.982,-0.047,0.705,1.9016
109,1.817,4.000,4.005,-0.051,0.703,2.1827
110,1.833,4.000,4.020,-0.058,0.700,2.2824
111,1.850,4.000,4.016,-0.081,0.696,2.2878
112,1.867,4.000,4.003,-0.103,0.689,2.2598
113,1.883,4.000,3.973,-0.127,0.681,1.7594
114,1.900,4.000,3.890,-0.115,0.674,1.9215
115,1.917,4.000,3.855,-0.065,0.669,1.9325
116,1.933,4.000,3.889,0.010,0.666,1.8914
117,1.950,4.000,3.951,0.021,0.666,1.8748
118,1.967,4.000,3.968,-0.004,0.667,1.6584
119,1.983,4.000,4.002,0.022,0.670,1.5949
120,2.000,4.000,4.038,-0.028,0.675,1.4260
121,2.017,4.000,4.065,-0.050,0.682,1.5447
122,2.033,4.000,3.986,-0.041,0.686,1.5366
123,2.050,4.000,3.952,-0.001,0.688,2.0541
124,2.067,4.000,3.966,0.033,0.689,2.2127
125,2.083,4.000,3.998,0.065,0.687,2.2607
126,2.100,4.000,4.027,0.111,0.684,1.9040
127,2.117,4.000,4.010,0.149,0.680,2.0736
128,2.133,4.000,3.986,0.118,0.677,1.8008
129,2.150,4.000,4.000,0.085,0.676,1.9764
130,2.167,4.000,3.954,0.096,0.679,1.7778
131,2.183,4.000,3.970,0.117,0.686,1.6321
132,2.200,4.000,3.995,0.041,0.692,1.5207
133,2.217,4.000,4.050,0.019,0.695,1.6087
134,2.233,4.000,4.049,-0.005,0.696,1.7266
135,2.250,4.000,3.959,-0.030,0.696,1.8571
136,2.267,4.000,3.979,-0.041,0.693,2.1159
137,2.283,4.000,3.996,-0.055,0.690,2.2443
138,2.300,4.000,3.996,-0.082,0.684,2.2715
139,2.317,4.000,3.984,-0.120,0.677,2.0486
